playerID,R,RBI,SB,AVG,SLG,Games_C,Games_2B,Games_3B,Games_SS,HOF_member
fletcar01,574.0,554.0,149.0,0.2770736046253058,0.3600177896375361,0.0,26.0,33.0,1177.0,0
fletcel01,707.0,607.0,30.0,0.2720541569705945,0.39242648614343134,0.0,0.0,0.0,0.0,0
floodcu01,694.0,516.0,68.0,0.29328621908127206,0.3957597173144876,0.0,1.0,2.0,0.0,0
floydcl01,613.0,629.0,126.0,0.28578961244397577,0.49960453466912735,0.0,0.0,0.0,0.0,0
fosteed02,678.0,431.0,189.0,0.26725460122699385,0.33243865030674846,0.0,249.0,1089.0,0.0,0
fostege01,685.0,860.0,46.0,0.28606194690265485,0.5099557522123894,0.0,0.0,0.0,0.0,0
fournja01,713.0,744.0,133.0,0.3185419968304279,0.49309486076522524,0.0,0.0,0.0,0.0,0
foxne01,860.0,485.0,65.0,0.29783896828163126,0.37748344370860926,0.0,1423.0,0.0,0.0,1
foxpe01,750.0,566.0,124.0,0.2993472878685573,0.4260634706279541,0.0,0.0,0.0,0.0,0
foxxji01,1095.0,1213.0,60.0,0.33879781420765026,0.6397490386561425,50.0,0.0,119.0,1.0,1
francju01,870.0,752.0,228.0,0.30127322780454235,0.41345492085340674,0.0,619.0,0.0,704.0,0
francti01,546.0,512.0,41.0,0.2753046505844317,0.41755782143745335,0.0,0.0,0.0,0.0,0
freehbi01,550.0,591.0,20.0,0.2616965456930477,0.4164844774814167,1243.0,0.0,0.0,0.0,0
fregoji01,684.0,543.0,71.0,0.2687368219283113,0.40368027602070156,0.0,0.0,0.0,1356.0,0
freylo01,756.0,502.0,93.0,0.2699411406535417,0.37994722955145116,0.0,871.0,22.0,386.0,0
friscfr01,920.0,688.0,301.0,0.3210657465976615,0.44680851063829785,0.0,914.0,347.0,54.0,1
frymatr01,726.0,823.0,70.0,0.2739567233384853,0.44880216383307575,0.0,0.0,996.0,338.0,0
fuentti01,510.0,384.0,76.0,0.26468155500413565,0.3436724565756824,0.0,1104.0,61.0,147.0,0
furilca01,705.0,812.0,47.0,0.3012535382126971,0.4575414476344521,0.0,0.0,0.0,0.0,0
gaettga01,700.0,821.0,79.0,0.2550009010632546,0.43106866102000363,0.0,1.0,1455.0,13.0,0
gagnegr01,555.0,440.0,99.0,0.25485607301661595,0.38989000702082843,0.0,6.0,1.0,1367.0,0
galanau01,659.0,528.0,98.0,0.2770605759682224,0.4044190665342602,0.0,56.0,3.0,3.0,0
galaran01,660.0,757.0,80.0,0.2843075633773308,0.47412528807877646,0.0,0.0,0.0,0.0,0
gamblos01,474.0,454.0,38.0,0.27264409881061297,0.45166209210125036,0.0,0.0,0.0,0.0,0
gantro01,787.0,770.0,211.0,0.25647936968691687,0.4725274725274725,0.0,122.0,75.0,0.0,0
garcino01,862.0,868.0,87.0,0.3169055566463774,0.5281759277439623,0.0,0.0,77.0,981.0,0
gardnla01,606.0,606.0,149.0,0.2842148590244906,0.37744391850174935,0.0,175.0,1184.0,0.0,0
garneph01,639.0,621.0,202.0,0.26221434200157606,0.39164696611505123,0.0,936.0,520.0,32.0,0
garrewa01,438.0,340.0,38.0,0.23926940639269406,0.3409436834094368,0.0,195.0,792.0,32.0,0
garrra01,685.0,395.0,165.0,0.3077390599675851,0.4211912479740681,0.0,0.0,0.0,0.0,0
garvest01,715.0,836.0,68.0,0.30495269894268223,0.46967167501391205,0.0,0.0,164.0,0.0,0
gehrich01,1094.0,887.0,136.0,0.32171913689423415,0.48195967456667843,0.0,1383.0,6.0,0.0,1
gehrilo01,1333.0,1436.0,81.0,0.34337561663143057,0.6425299506694856,0.0,0.0,0.0,1.0,1
gibsoki01,666.0,599.0,206.0,0.2740105873456012,0.4751701537685909,0.0,0.0,0.0,0.0,0
gilesbr02,857.0,855.0,93.0,0.29868732515601465,0.5409941897998709,0.0,0.0,0.0,0.0,0
gilkebe01,587.0,529.0,109.0,0.2742225648933436,0.43407864302235927,0.0,0.0,0.0,0.0,0
gilliji01,958.0,427.0,169.0,0.26711480629754114,0.3585706704404741,0.0,895.0,470.0,0.0,0
gladdda01,657.0,437.0,218.0,0.27061739522307343,0.3832807570977918,0.0,1.0,1.0,0.0,0
glaustr01,766.0,778.0,56.0,0.25401129943502826,0.5001129943502824,0.0,0.0,1182.0,18.0,0
gonzaju03,843.0,1123.0,22.0,0.2954103461688059,0.5702061454686892,0.0,0.0,0.0,0.0,0
gonzalu01,749.0,775.0,100.0,0.2817733990147783,0.4604926108374384,0.0,0.0,0.0,0.0,0
gonzato01,592.0,510.0,73.0,0.2904335856847901,0.42601514108740535,0.0,0.0,0.0,0.0,0
goodmbi01,723.0,496.0,33.0,0.30595570844979575,0.3883035906256719,0.0,581.0,101.0,6.0,0
